document_id,pilot_language,source_group,category,relative_path,actual_format,char_count,sha256,review_status
doc_100540874510b57d,en,raib,signal_or_spad,raib/D072018_180829_Bushey.pdf,pdf,13558,385917e767db309aeadb107bedb80717c40af584a64aeba4ec4846bc2b58eadd,pending
doc_8390ceaa79ac63e2,en,raib,signal_or_spad,raib/R152017_171030_Cardiff_East_Junction.pdf,pdf,73617,b462fa407591bdd701c06880ef4bd519e2c6681c88ce52d9ddfba88da91273bf,pending
doc_9494d418b0e39cea,zh,cn,construction,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【重大危险源相关资料】/【建筑】项目重大危险源备案管理实施细则.docx,docx,3719,2db02f999f57f95333e5371c274e5d02539f6b87cf48c0df830621a3125d4313,pending
doc_45af6334a9294a5a,zh,cn,construction,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【公路施工相关资料】/公路施工安全管理制度.docx,docx,16405,ebbf5e2c4e5f16e4e84119b49aa977be4639337229ea7be52dee07f3b6c18a31,pending
doc_7ff8beda46c89166,zh,cn,emergency_drill,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/新版应急预案导则编制及全套预案模板/12286 公司应急预案桌面演练方案.docx,docx,2963,d862afa9561593a50381d844531fb661b7997b5e5e8eb970e3e35522dd25b498,pending
doc_ab31bb72c37bd7aa,zh,cn,emergency_drill,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/最新整理预案（各行业都有）/尾矿库应急演练方案.docx,docx,7419,b7bc9b1e6640ef3de0c3729a259bd14d8a31039bcfe6f4a6d36a0c481e62369e,pending
doc_bba811c1042b46ce,zh,cn,fire,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/最新整理预案（各行业都有）/施工现场消防应急预案[1].docx,docx,4437,17c1d84124f9236696c990ea9284ca706bc8595927bc7dd45b1817c016ac64f1,pending
doc_bd7d02b1b1516acd,zh,cn,fire,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/1.各行业应急预案模板/消防应急预案/公司消防应急预案【9页】.docx,docx,7719,0fb2cc6c16c230f7d5d9ef696721820a57adb04d467cb93dee6edf4fca0b9449,pending
doc_74157a574b178949,zh,cn,hazardous_material,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/02.经典版应急预案合集（129份）/03.应急演练方案（24份）/2020废液泄漏事故应急演练方案.docx,docx,5472,4968caa4d783cd8ab766736a70e9075a3cd89d246c07a35c2cf55b8bdd7c06f3,pending
doc_8a117557952e4859,zh,cn,hazardous_material,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【危化、电镀企业另增的台账、制度、预案】/危险化学品应急预案.docx,docx,13062,31e7fa906ddef4dc178a028b105799d23a878a6269c65a5ee49faf152c8ac6b8,pending
doc_6d20151dfb67bc5b,zh,cn,management,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【游乐园管理制度、预案】/户外游乐园安全管理方案.docx,docx,4645,31f11bac11b59fe4105672c647269dee7249be395dca943a026a32809d96f62f,pending
doc_7f595bae8ceffc71,zh,cn,management,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/安全风险管控制度及清单/【模板5】安全风险管理制度.docx,docx,6763,f954556f706997c77866389f3be6e2fc72b079cdd5f15978406c5d6489cca908,pending
doc_50ad022442e2dad4,zh,cn,other,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/最新整理预案（各行业都有）/饲料厂春节应急预案.docx,docx,4267,9a53b9ce8f73f50198dc4933867ffc2347d0a9f88443918de60398d8ee34bbe8,pending
doc_273e49e7a9d3fc83,zh,cn,other,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/绩效评定与改进标准/双体系建设标准(最新标准).docx,docx,8292,df1fc68a0fb9d618bef9d68824430eac426d8d2d2a79845828438605d948ae60,pending
doc_8ebb5e1211fb183a,zh,cn,railway,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/最新整理预案（各行业都有）/铁路运输事故应急预案.docx,docx,5980,ba3b00658e1de83f16bfed64757d3c71c1ff28e2c10a27281ab524ce6fad5574,pending
doc_0cdca4bc35ff9937,zh,cn,railway,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/安全生产应急预案/最新整理预案（各行业都有）/铁路危险品运输的应急预案（精选6篇）.docx,docx,17234,c87244318c8c37cadfb963502b7da4efb878d62839066bb4b2e796652c06dd3c,pending
